domain,scenario,seed,element_id,gt_fault,gt_self_clearing,lead_gain_min,t_first_correct_verdict,time_to_correct_diagnosis_min,degraded_minutes,down_minutes,n_ambiguous_decisions,n_wait_decisions,conv_escalated,layer_escalated,conv_unnecessary_dispatch,layer_unnecessary_dispatch,t_fault_onset,t_first_detectable,t_decision_layer_actionable,t_conventional_escalation,t_ticket,t_service_impact,t_outage,t_recovery,t_environment_cleared,false_calm_window_min,pre_escalation_window_min,exposure_window_min,decision_margin_min,conventional_margin_min,time_to_diagnosis_min,detect_tp,detect_fp,detect_fn,detect_tn,detect_precision,detect_recall,detect_f1,detect_fpr,detect_fnr,layer_esc_tp,layer_esc_fp,layer_esc_fn,layer_esc_tn,layer_esc_precision,layer_esc_recall,layer_esc_f1,layer_esc_fpr,layer_esc_fnr,conv_esc_tp,conv_esc_fp,conv_esc_fn,conv_esc_tn,conv_esc_precision,conv_esc_recall,conv_esc_f1,conv_esc_fpr,conv_esc_fnr,provenance,exposure_conventional,exposure_decision_layer,exposure_delta,exposure_delta_pct,decision_layer_dispatched_unnecessarily,conventional_dispatched_unnecessarily
microwave,mw_rain_cell,1,POP~R_D00_1,rain_fade,True,18.0,175.0,0.0,0.0,0.0,0,26,True,False,True,False,150.0,175.0,175.0,193.0,199.0,,,,260.0,18.0,18.0,,,,0.0,26,0,25,550,1.0,0.5098039215686274,0.6753246753246753,0.0,0.49019607843137253,0,0,0,601,,,,0.0,,0,408,0,193,0.0,,,0.6788685524126455,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,2,POP~R_D00_1,rain_fade,True,16.0,178.0,0.0,0.0,0.0,0,23,True,False,True,False,150.0,178.0,178.0,194.0,200.0,,,,260.0,16.0,16.0,,,,0.0,23,0,28,550,1.0,0.45098039215686275,0.6216216216216216,0.0,0.5490196078431373,0,0,0,601,,,,0.0,,0,407,0,194,0.0,,,0.6772046589018302,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,3,POP~R_D00_1,rain_fade,True,17.0,176.0,0.0,0.0,0.0,0,25,True,False,True,False,150.0,176.0,176.0,193.0,199.0,,,,260.0,17.0,17.0,,,,0.0,25,0,26,550,1.0,0.49019607843137253,0.6578947368421052,0.0,0.5098039215686274,0,0,0,601,,,,0.0,,0,408,0,193,0.0,,,0.6788685524126455,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,4,POP~R_D00_1,rain_fade,True,17.0,176.0,0.0,0.0,0.0,0,25,True,False,True,False,150.0,176.0,176.0,193.0,199.0,,,,260.0,17.0,17.0,,,,0.0,25,0,26,550,1.0,0.49019607843137253,0.6578947368421052,0.0,0.5098039215686274,0,0,0,601,,,,0.0,,0,408,0,193,0.0,,,0.6788685524126455,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,5,POP~R_D00_1,rain_fade,True,16.0,179.0,0.0,0.0,0.0,0,21,True,False,True,False,150.0,179.0,179.0,195.0,201.0,,,,260.0,16.0,16.0,,,,0.0,21,0,30,550,1.0,0.4117647058823529,0.5833333333333334,0.0,0.5882352941176471,0,0,0,601,,,,0.0,,0,406,0,195,0.0,,,0.6755407653910149,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,6,POP~R_D00_1,rain_fade,True,14.0,176.0,0.0,0.0,0.0,0,23,True,False,True,False,150.0,176.0,176.0,190.0,196.0,,,,260.0,14.0,14.0,,,,0.0,23,0,28,550,1.0,0.45098039215686275,0.6216216216216216,0.0,0.5490196078431373,0,0,0,601,,,,0.0,,0,411,0,190,0.0,,,0.6838602329450915,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,7,POP~R_D00_1,rain_fade,True,16.0,176.0,0.0,0.0,0.0,0,24,True,False,True,False,150.0,176.0,176.0,192.0,198.0,,,,260.0,16.0,16.0,,,,0.0,24,0,27,550,1.0,0.47058823529411764,0.6399999999999999,0.0,0.5294117647058824,0,0,0,601,,,,0.0,,0,409,0,192,0.0,,,0.6805324459234608,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,8,POP~R_D00_1,rain_fade,True,16.0,178.0,0.0,0.0,0.0,0,21,True,False,True,False,150.0,178.0,178.0,194.0,200.0,,,,260.0,16.0,16.0,,,,0.0,21,0,30,550,1.0,0.4117647058823529,0.5833333333333334,0.0,0.5882352941176471,0,0,0,601,,,,0.0,,0,407,0,194,0.0,,,0.6772046589018302,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,9,POP~R_D00_1,rain_fade,True,17.0,176.0,0.0,0.0,0.0,0,24,True,False,True,False,150.0,176.0,176.0,193.0,199.0,,,,260.0,17.0,17.0,,,,0.0,24,0,27,550,1.0,0.47058823529411764,0.6399999999999999,0.0,0.5294117647058824,0,0,0,601,,,,0.0,,0,408,0,193,0.0,,,0.6788685524126455,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
microwave,mw_rain_cell,10,POP~R_D00_1,rain_fade,True,16.0,177.0,0.0,0.0,0.0,0,24,True,False,True,False,150.0,177.0,177.0,193.0,199.0,,,,260.0,16.0,16.0,,,,0.0,24,0,27,550,1.0,0.47058823529411764,0.6399999999999999,0.0,0.5294117647058824,0,0,0,601,,,,0.0,,0,408,0,193,0.0,,,0.6788685524126455,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True
