domain,scenario,seed,element_id,gt_fault,gt_self_clearing,lead_gain_min,t_first_correct_verdict,time_to_correct_diagnosis_min,degraded_minutes,down_minutes,n_ambiguous_decisions,n_wait_decisions,conv_escalated,layer_escalated,conv_unnecessary_dispatch,layer_unnecessary_dispatch,t_fault_onset,t_first_detectable,t_decision_layer_actionable,t_conventional_escalation,t_ticket,t_service_impact,t_outage,t_recovery,t_environment_cleared,false_calm_window_min,pre_escalation_window_min,exposure_window_min,decision_margin_min,conventional_margin_min,time_to_diagnosis_min,detect_tp,detect_fp,detect_fn,detect_tn,detect_precision,detect_recall,detect_f1,detect_fpr,detect_fnr,layer_esc_tp,layer_esc_fp,layer_esc_fn,layer_esc_tn,layer_esc_precision,layer_esc_recall,layer_esc_f1,layer_esc_fpr,layer_esc_fnr,conv_esc_tp,conv_esc_fp,conv_esc_fn,conv_esc_tn,conv_esc_precision,conv_esc_recall,conv_esc_f1,conv_esc_fpr,conv_esc_fnr,provenance,exposure_conventional,exposure_decision_layer,exposure_delta,exposure_delta_pct,decision_layer_dispatched_unnecessarily,conventional_dispatched_unnecessarily,severity_multiplier,swept_severity
microwave,mw_rain_cell,1,POP~R_D00_1,rain_fade,True,,,,0.0,0.0,0,0,False,False,False,False,150.0,,,,,,,,260.0,,,,,,,0,0,51,550,,0.0,,0.0,1.0,0,0,0,601,,,,0.0,,0,0,0,601,,,,0.0,,ILLUSTRATIVE - not derived from operator financial data,0.0,0.0,0.0,,False,False,0.4,12.0
microwave,mw_rain_cell,2,POP~R_D00_1,rain_fade,True,,,,0.0,0.0,0,0,False,False,False,False,150.0,,,,,,,,260.0,,,,,,,0,0,51,550,,0.0,,0.0,1.0,0,0,0,601,,,,0.0,,0,0,0,601,,,,0.0,,ILLUSTRATIVE - not derived from operator financial data,0.0,0.0,0.0,,False,False,0.4,12.0
microwave,mw_rain_cell,3,POP~R_D00_1,rain_fade,True,,,,0.0,0.0,0,0,False,False,False,False,150.0,,,,,,,,260.0,,,,,,,0,0,51,550,,0.0,,0.0,1.0,0,0,0,601,,,,0.0,,0,0,0,601,,,,0.0,,ILLUSTRATIVE - not derived from operator financial data,0.0,0.0,0.0,,False,False,0.4,12.0
microwave,mw_rain_cell,4,POP~R_D00_1,rain_fade,True,,,,0.0,0.0,0,0,False,False,False,False,150.0,,,,,,,,260.0,,,,,,,0,0,51,550,,0.0,,0.0,1.0,0,0,0,601,,,,0.0,,0,0,0,601,,,,0.0,,ILLUSTRATIVE - not derived from operator financial data,0.0,0.0,0.0,,False,False,0.4,12.0
microwave,mw_rain_cell,5,POP~R_D00_1,rain_fade,True,,,,0.0,0.0,0,0,False,False,False,False,150.0,,,,,,,,260.0,,,,,,,0,0,51,550,,0.0,,0.0,1.0,0,0,0,601,,,,0.0,,0,0,0,601,,,,0.0,,ILLUSTRATIVE - not derived from operator financial data,0.0,0.0,0.0,,False,False,0.4,12.0
microwave,mw_rain_cell,6,POP~R_D00_1,rain_fade,True,,,,0.0,0.0,0,0,False,False,False,False,150.0,,,,,,,,260.0,,,,,,,0,0,51,550,,0.0,,0.0,1.0,0,0,0,601,,,,0.0,,0,0,0,601,,,,0.0,,ILLUSTRATIVE - not derived from operator financial data,0.0,0.0,0.0,,False,False,0.4,12.0
microwave,mw_rain_cell,7,POP~R_D00_1,rain_fade,True,,,,0.0,0.0,0,0,False,False,False,False,150.0,,,,,,,,260.0,,,,,,,0,0,51,550,,0.0,,0.0,1.0,0,0,0,601,,,,0.0,,0,0,0,601,,,,0.0,,ILLUSTRATIVE - not derived from operator financial data,0.0,0.0,0.0,,False,False,0.4,12.0
microwave,mw_rain_cell,8,POP~R_D00_1,rain_fade,True,,,,0.0,0.0,0,0,False,False,False,False,150.0,,,,,,,,260.0,,,,,,,0,0,51,550,,0.0,,0.0,1.0,0,0,0,601,,,,0.0,,0,0,0,601,,,,0.0,,ILLUSTRATIVE - not derived from operator financial data,0.0,0.0,0.0,,False,False,0.4,12.0
microwave,mw_rain_cell,9,POP~R_D00_1,rain_fade,True,,,,0.0,0.0,0,0,False,False,False,False,150.0,,,,,,,,260.0,,,,,,,0,0,51,550,,0.0,,0.0,1.0,0,0,0,601,,,,0.0,,0,0,0,601,,,,0.0,,ILLUSTRATIVE - not derived from operator financial data,0.0,0.0,0.0,,False,False,0.4,12.0
microwave,mw_rain_cell,10,POP~R_D00_1,rain_fade,True,,,,0.0,0.0,0,0,False,False,False,False,150.0,,,,,,,,260.0,,,,,,,0,0,51,550,,0.0,,0.0,1.0,0,0,0,601,,,,0.0,,0,0,0,601,,,,0.0,,ILLUSTRATIVE - not derived from operator financial data,0.0,0.0,0.0,,False,False,0.4,12.0
