domain,scenario,seed,element_id,gt_fault,gt_self_clearing,lead_gain_min,t_first_correct_verdict,time_to_correct_diagnosis_min,degraded_minutes,down_minutes,n_ambiguous_decisions,n_wait_decisions,conv_escalated,layer_escalated,conv_unnecessary_dispatch,layer_unnecessary_dispatch,t_fault_onset,t_first_detectable,t_decision_layer_actionable,t_conventional_escalation,t_ticket,t_service_impact,t_outage,t_recovery,t_environment_cleared,false_calm_window_min,pre_escalation_window_min,exposure_window_min,decision_margin_min,conventional_margin_min,time_to_diagnosis_min,detect_tp,detect_fp,detect_fn,detect_tn,detect_precision,detect_recall,detect_f1,detect_fpr,detect_fnr,layer_esc_tp,layer_esc_fp,layer_esc_fn,layer_esc_tn,layer_esc_precision,layer_esc_recall,layer_esc_f1,layer_esc_fpr,layer_esc_fnr,conv_esc_tp,conv_esc_fp,conv_esc_fn,conv_esc_tn,conv_esc_precision,conv_esc_recall,conv_esc_f1,conv_esc_fpr,conv_esc_fnr,provenance,exposure_conventional,exposure_decision_layer,exposure_delta,exposure_delta_pct,decision_layer_dispatched_unnecessarily,conventional_dispatched_unnecessarily,sweep_axis,param_label,smoothing_window,persistence_m,persistence_n,escalation_delay_min,warmup_variant
microwave,mw_rain_cell,1,POP~R_D00_1,rain_fade,True,7.0,175.0,0.0,0.0,0.0,0,26,True,False,True,False,150.0,175.0,175.0,182.0,188.0,,,,260.0,7.0,7.0,,,,0.0,26,0,25,550,1.0,0.5098039215686274,0.6753246753246753,0.0,0.49019607843137253,0,0,0,601,,,,0.0,,0,419,0,182,0.0,,,0.697171381031614,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,2,POP~R_D00_1,rain_fade,True,3.0,178.0,0.0,0.0,0.0,0,23,True,False,True,False,150.0,178.0,178.0,181.0,187.0,,,,260.0,3.0,3.0,,,,0.0,23,0,28,550,1.0,0.45098039215686275,0.6216216216216216,0.0,0.5490196078431373,0,0,0,601,,,,0.0,,0,420,0,181,0.0,,,0.6988352745424293,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,3,POP~R_D00_1,rain_fade,True,4.0,176.0,0.0,0.0,0.0,0,25,True,False,True,False,150.0,176.0,176.0,180.0,186.0,,,,260.0,4.0,4.0,,,,0.0,25,0,26,550,1.0,0.49019607843137253,0.6578947368421052,0.0,0.5098039215686274,0,0,0,601,,,,0.0,,0,421,0,180,0.0,,,0.7004991680532446,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,4,POP~R_D00_1,rain_fade,True,5.0,176.0,0.0,0.0,0.0,0,25,True,False,True,False,150.0,176.0,176.0,181.0,187.0,,,,260.0,5.0,5.0,,,,0.0,25,0,26,550,1.0,0.49019607843137253,0.6578947368421052,0.0,0.5098039215686274,0,0,0,601,,,,0.0,,0,420,0,181,0.0,,,0.6988352745424293,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,5,POP~R_D00_1,rain_fade,True,4.0,179.0,0.0,0.0,0.0,0,21,True,False,True,False,150.0,179.0,179.0,183.0,189.0,,,,260.0,4.0,4.0,,,,0.0,21,0,30,550,1.0,0.4117647058823529,0.5833333333333334,0.0,0.5882352941176471,0,0,0,601,,,,0.0,,0,418,0,183,0.0,,,0.6955074875207987,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,6,POP~R_D00_1,rain_fade,True,2.0,176.0,0.0,0.0,0.0,0,23,True,False,True,False,150.0,176.0,176.0,178.0,184.0,,,,260.0,2.0,2.0,,,,0.0,23,0,28,550,1.0,0.45098039215686275,0.6216216216216216,0.0,0.5490196078431373,0,0,0,601,,,,0.0,,0,423,0,178,0.0,,,0.7038269550748752,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,7,POP~R_D00_1,rain_fade,True,4.0,176.0,0.0,0.0,0.0,0,24,True,False,True,False,150.0,176.0,176.0,180.0,186.0,,,,260.0,4.0,4.0,,,,0.0,24,0,27,550,1.0,0.47058823529411764,0.6399999999999999,0.0,0.5294117647058824,0,0,0,601,,,,0.0,,0,421,0,180,0.0,,,0.7004991680532446,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,8,POP~R_D00_1,rain_fade,True,4.0,178.0,0.0,0.0,0.0,0,21,True,False,True,False,150.0,178.0,178.0,182.0,188.0,,,,260.0,4.0,4.0,,,,0.0,21,0,30,550,1.0,0.4117647058823529,0.5833333333333334,0.0,0.5882352941176471,0,0,0,601,,,,0.0,,0,419,0,182,0.0,,,0.697171381031614,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,9,POP~R_D00_1,rain_fade,True,5.0,176.0,0.0,0.0,0.0,0,24,True,False,True,False,150.0,176.0,176.0,181.0,187.0,,,,260.0,5.0,5.0,,,,0.0,24,0,27,550,1.0,0.47058823529411764,0.6399999999999999,0.0,0.5294117647058824,0,0,0,601,,,,0.0,,0,420,0,181,0.0,,,0.6988352745424293,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,10,POP~R_D00_1,rain_fade,True,3.0,177.0,0.0,0.0,0.0,0,24,True,False,True,False,150.0,177.0,177.0,180.0,186.0,,,,260.0,3.0,3.0,,,,0.0,24,0,27,550,1.0,0.47058823529411764,0.6399999999999999,0.0,0.5294117647058824,0,0,0,601,,,,0.0,,0,421,0,180,0.0,,,0.7004991680532446,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,11,POP~R_D00_1,rain_fade,True,3.0,177.0,0.0,0.0,0.0,0,25,True,False,True,False,150.0,177.0,177.0,180.0,186.0,,,,260.0,3.0,3.0,,,,0.0,25,0,26,550,1.0,0.49019607843137253,0.6578947368421052,0.0,0.5098039215686274,0,0,0,601,,,,0.0,,0,421,0,180,0.0,,,0.7004991680532446,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,12,POP~R_D00_1,rain_fade,True,4.0,177.0,0.0,0.0,0.0,0,21,True,True,True,True,150.0,177.0,177.0,181.0,187.0,,,,260.0,4.0,4.0,,,,0.0,23,0,28,550,1.0,0.45098039215686275,0.6216216216216216,0.0,0.5490196078431373,0,2,0,599,0.0,,,0.0033277870216306157,,0,420,0,181,0.0,,,0.6988352745424293,,ILLUSTRATIVE - not derived from operator financial data,900.0,900.0,0.0,0.0,True,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
microwave,mw_rain_cell,13,POP~R_D00_1,rain_fade,True,3.0,180.0,0.0,0.0,0.0,0,20,True,False,True,False,150.0,180.0,180.0,183.0,189.0,,,,260.0,3.0,3.0,,,,0.0,20,0,31,550,1.0,0.39215686274509803,0.5633802816901409,0.0,0.6078431372549019,0,0,0,601,,,,0.0,,0,418,0,183,0.0,,,0.6955074875207987,,ILLUSTRATIVE - not derived from operator financial data,900.0,0.0,900.0,100.0,False,True,degenerate,degenerate,1.0,1.0,1.0,0.0,a_as_run_600min
